"module name","licenses","repository","licenseUrl","parents"
"@babel/parser@7.21.4","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"@esbuild/darwin-x64@0.17.18","MIT","https://github.com/evanw/esbuild","https://github.com/evanw/esbuild","neighbourhood-calculator-js-excel-addin"
"@eslint-community/eslint-utils@4.4.0","MIT","https://github.com/eslint-community/eslint-utils","https://github.com/eslint-community/eslint-utils/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"@eslint-community/regexpp@4.5.0","MIT","https://github.com/eslint-community/regexpp","https://github.com/eslint-community/regexpp/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"@eslint/eslintrc@2.0.2","MIT","https://github.com/eslint/eslintrc","https://github.com/eslint/eslintrc/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"@eslint/js@8.39.0","MIT","https://github.com/eslint/eslint","https://github.com/eslint/eslint/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"@fortawesome/fontawesome-common-types@6.4.0","MIT","https://github.com/FortAwesome/Font-Awesome","https://github.com/FortAwesome/Font-Awesome/raw/master/LICENSE.txt","neighbourhood-calculator-js-excel-addin"
"@fortawesome/fontawesome-pro@6.4.0","UNLICENSED","https://github.com/FortAwesome/Font-Awesome","https://github.com/FortAwesome/Font-Awesome/raw/master/LICENSE.txt","neighbourhood-calculator-js-excel-addin"
"@fortawesome/fontawesome-svg-core@6.4.0","MIT","https://github.com/FortAwesome/Font-Awesome","https://github.com/FortAwesome/Font-Awesome/raw/master/LICENSE.txt","neighbourhood-calculator-js-excel-addin"
"@fortawesome/free-brands-svg-icons@6.4.0","(CC-BY-4.0 AND MIT)","https://github.com/FortAwesome/Font-Awesome","https://github.com/FortAwesome/Font-Awesome/raw/master/LICENSE.txt","neighbourhood-calculator-js-excel-addin"
"@fortawesome/free-solid-svg-icons@6.4.0","(CC-BY-4.0 AND MIT)","https://github.com/FortAwesome/Font-Awesome","https://github.com/FortAwesome/Font-Awesome/raw/master/LICENSE.txt","neighbourhood-calculator-js-excel-addin"
"@fortawesome/pro-light-svg-icons@6.4.0","UNLICENSED","https://github.com/FortAwesome/Font-Awesome","https://github.com/FortAwesome/Font-Awesome/raw/master/LICENSE.txt","neighbourhood-calculator-js-excel-addin"
"@fortawesome/pro-regular-svg-icons@6.4.0","UNLICENSED","https://github.com/FortAwesome/Font-Awesome","https://github.com/FortAwesome/Font-Awesome/raw/master/LICENSE.txt","neighbourhood-calculator-js-excel-addin"
"@fortawesome/pro-solid-svg-icons@6.4.0","UNLICENSED","https://github.com/FortAwesome/Font-Awesome","https://github.com/FortAwesome/Font-Awesome/raw/master/LICENSE.txt","neighbourhood-calculator-js-excel-addin"
"@fortawesome/vue-fontawesome@3.0.3","MIT","https://github.com/FortAwesome/vue-fontawesome","https://github.com/FortAwesome/vue-fontawesome/raw/master/LICENSE.txt","neighbourhood-calculator-js-excel-addin"
"@humanwhocodes/config-array@0.11.8","Apache-2.0","https://github.com/humanwhocodes/config-array","https://github.com/humanwhocodes/config-array/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
